Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Activity (product.metafields.custom.activity),Badges (product.metafields.custom.badges),Buckle Color (product.metafields.custom.buckle_color),Buckle Material  (product.metafields.custom.buckle_material_),Buckle Width (product.metafields.custom.buckle_width),Bundle (product.metafields.custom.bundle),image with text - text (product.metafields.custom.image_with_text_text),Packs (product.metafields.custom.packs),Other (product.metafields.custom.product),Product Category (product.metafields.custom.product_category),Product Feature (product.metafields.custom.product_feature),Season (product.metafields.custom.season),Shipping (product.metafields.custom.shipping),Sock Color (product.metafields.custom.sock_color),Style (product.metafields.custom.sock_height),Buckle Style (product.metafields.custom.style),Video (product.metafields.custom.video),Warranty (product.metafields.custom.warranty),Wool Info (product.metafields.custom.wool_info),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Hidden Product (product.metafields.seo.hidden),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Brunei,Price / Brunei,Compare At Price / Brunei,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
laurel-run-no-show-runweight-merino-wool-sock,Laurel - Run No Show Runweight Merino Wool Sock,"<p dir=""auto"">The Laurel Runweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Laurel is a no-show sock, designed with heel and tongue tabs that provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,No Show,true,Size,sm,product.metafields.shopify.accessory-size,Color,laurel,product.metafields.shopify.color-pattern,,,,LAUREL-SM-LW,45.359237,shopify,6,deny,manual,17.00,,true,true,'194794144665,https://cdn.shopify.com/s/files/1/1310/9209/files/LaurelHero.jpg?v=1748613358,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,No Show,,,,,,'3,,sm; md; lg; xl,running,moisture-wicking,laurel,nylon; wool; merino,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,md,,,laurel,,,,,LAUREL-MD-LW,48.1941893125,shopify,29,deny,manual,17.00,,true,true,'194794144672,https://cdn.shopify.com/s/files/1/1310/9209/files/LaurelUndertheHood.jpg?v=1748613358,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,lg,,,laurel,,,,,LAUREL-LG-LW,53.8640939375,shopify,95,deny,manual,17.00,,true,true,'194794144689,https://cdn.shopify.com/s/files/1/1310/9209/files/Laurel2.jpg?v=1748613358,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,xl,,,laurel,,,,,LAUREL-XL-LW,56.69904625,shopify,6,deny,manual,17.00,,true,true,'194794144696,https://cdn.shopify.com/s/files/1/1310/9209/files/LaurelMidfoot1024.jpg?v=1748613358,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/LaurelToebox1024.jpg?v=1748613358,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Laurel1.jpg?v=1748613358,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Laurel3.jpg?v=1748613358,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laurel-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/LaurelYSeam1024.jpg?v=1748613358,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basalt-run-no-show-runweight-merino-wool-sock,Basalt - Run No Show Runweight Merino Wool Sock,"<p dir=""auto"">The Basalt Runweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Basalt is a no-show sock, designed with heel and tongue tabs that provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,No Show,true,Size,sm,product.metafields.shopify.accessory-size,Color,basalt,product.metafields.shopify.color-pattern,,,,BASALT-SM-LW,45.359237,shopify,94,deny,manual,17.00,,true,true,'194794144627,https://cdn.shopify.com/s/files/1/1310/9209/files/BasaltHero.jpg?v=1747513334,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,No Show,,,,,,'2,,sm; md; lg; xl,running,moisture-wicking,basalt,nylon; wool; merino,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
basalt-run-no-show-runweight-merino-wool-sock,,,,,,,,,md,,,basalt,,,,,BASALT-MD-LW,48.1941893125,shopify,75,deny,manual,17.00,,true,true,'194794144634,https://cdn.shopify.com/s/files/1/1310/9209/files/BasaltUndertheHood.jpg?v=1748612796,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
basalt-run-no-show-runweight-merino-wool-sock,,,,,,,,,lg,,,basalt,,,,,BASALT-LG-LW,53.8640939375,shopify,71,deny,manual,17.00,,true,true,'194794144641,https://cdn.shopify.com/s/files/1/1310/9209/files/Basalt1.jpg?v=1748612796,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
basalt-run-no-show-runweight-merino-wool-sock,,,,,,,,,xl,,,basalt,,,,,BASALT-XL-LW,56.69904625,shopify,25,deny,manual,17.00,,true,true,'194794144658,https://cdn.shopify.com/s/files/1/1310/9209/files/BasaltMidfoot1024.jpg?v=1748612796,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
basalt-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/BasaltYSeam1024.jpg?v=1748612796,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basalt-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/BasaltToebox1024.jpg?v=1748612796,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denim-run-no-show-runweight-merino-wool-sock,Denim - Run No Show Runweight Merino Wool Sock,"<p dir=""auto"">The Denim Runweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Denim is a no-show sock, designed with heel and tongue tabs that provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,No Show,true,Size,sm,product.metafields.shopify.accessory-size,Color,denim,product.metafields.shopify.color-pattern,,,,DENIM-SM-LW,45.359237,shopify,62,deny,manual,17.00,,true,true,'194794144580,https://cdn.shopify.com/s/files/1/1310/9209/files/DenimHero.jpg?v=1748613103,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,No Show,,,,,,'6,,sm; md; lg; xl,running,moisture-wicking,denim,nylon; wool; merino,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
denim-run-no-show-runweight-merino-wool-sock,,,,,,,,,md,,,denim,,,,,DENIM-MD-LW,48.1941893125,shopify,120,deny,manual,17.00,,true,true,'194794144597,https://cdn.shopify.com/s/files/1/1310/9209/files/DenimUndertheHood.jpg?v=1748613103,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,
denim-run-no-show-runweight-merino-wool-sock,,,,,,,,,lg,,,denim,,,,,DENIM-LG-LW,53.8640939375,shopify,87,deny,manual,17.00,,true,true,'194794144603,https://cdn.shopify.com/s/files/1/1310/9209/files/DenimMidfoot1024.jpg?v=1748613103,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,
denim-run-no-show-runweight-merino-wool-sock,,,,,,,,,xl,,,denim,,,,,DENIM-XL-LW,56.69904625,shopify,20,deny,manual,17.00,,true,true,'194794144610,https://cdn.shopify.com/s/files/1/1310/9209/files/DenimToebox1024.jpg?v=1748613103,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,
denim-run-no-show-runweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/DenimYSeam1024.jpg?v=1748613103,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,Amethyst - Run Ankle Midweight Merino Wool Sock,"<p dir=""ltr"" data-pm-slice=""1 1 []"">The Amethyst Midweight Merino Wool Sock is an absolute workhorse. Don't let it's low profile design fool you, this thing is built for all-day performance and comfort whether you're on the trail or the job. It starts with a premium quality merino wool (45%), knitted to a form fitting nylon (49%) core. Then we add zoned elastic support (6%) in key areas for optimal fit and performance.   The Amethyst is designed with a low profile waffle-knit cuff that sit's just above the shoe line to provide optimal protection from your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,ankle,true,Size,sm,product.metafields.shopify.accessory-size,Color,amethyst,product.metafields.shopify.color-pattern,,,,AMETHYST-SM-MW,53.8640939375,shopify,57,deny,manual,18.00,,true,true,'194794144504,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystHero.jpg?v=1748612662,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle,,,,,,'9,,sm; md; lg; xl,running,moisture-wicking,emerald; amethyst,merino; nylon; wool,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,md,,,amethyst,,,,,AMETHYST-MD-MW,56.69904625,shopify,137,deny,manual,18.00,,true,true,'194794144511,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystUndertheHood.jpg?v=1748612662,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,lg,,,amethyst,,,,,AMETHYST-LG-MW,59.5339985625,shopify,210,deny,manual,18.00,,true,true,'194794144528,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystEdgeLogo1024.jpg?v=1748612662,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,xl,,,amethyst,,,,,AMETHYST-XL-MW,62.368950875,shopify,37,deny,manual,18.00,,true,true,'194794144535,https://cdn.shopify.com/s/files/1/1310/9209/files/Amethyst2.jpg?v=1748612662,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystYSeam1024.jpg?v=1748612662,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Amethyst1.jpg?v=1748612662,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystMidfoot1024.jpg?v=1748612662,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Amethyst1-2.jpg?v=1748612662,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst-run-ankle-midweight-merino-wool-soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/AmethystToebox1024.jpg?v=1748612662,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian-run-ankle-midweight-merino-wool-sock,Obsidian - Run Ankle Midweight Merino Wool Sock,"<p data-pm-slice=""1 1 []"" dir=""ltr"">The Obsidian Midweight Merino Wool Sock is an absolute workhorse. Don't let it's low profile design fool you, this thing is built for all-day performance and comfort whether you're on the trail or the job. It starts with a premium quality merino wool (45%), knitted to a form fitting nylon (49%) core. Then we add zoned elastic support (6%) in key areas for optimal fit and performance.   The Obsidian is designed with a low profile waffle-knit cuff that sit's just above the shoe line to provide optimal protection from your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,ankle,true,Size,sm,product.metafields.shopify.accessory-size,Color,obsidian,product.metafields.shopify.color-pattern,,,,OBSIDIAN-SM-MW,53.8640939375,shopify,54,deny,manual,18.00,,true,true,'194794144429,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianHero.jpg?v=1748613407,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle,,,,,,'10,,sm; md; lg; xl,running,moisture-wicking,emerald; obsidian,merino; nylon; wool,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
obsidian-run-ankle-midweight-merino-wool-sock,,,,,,,,,md,,,obsidian,,,,,OBSIDIAN-MD-MW,56.69904625,shopify,39,deny,manual,18.00,,true,true,'194794144436,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianUndertheHood.jpg?v=1748613407,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
obsidian-run-ankle-midweight-merino-wool-sock,,,,,,,,,lg,,,obsidian,,,,,OBSIDIAN-LG-MW,59.5339985625,shopify,56,deny,manual,18.00,,true,true,'194794144443,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianEdgeLogo1024.jpg?v=1748613407,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
obsidian-run-ankle-midweight-merino-wool-sock,,,,,,,,,xl,,,obsidian,,,,,OBSIDIAN-XL-MW,62.368950875,shopify,8,deny,manual,18.00,,true,true,'194794144450,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianMidfoot1024.jpg?v=1748613407,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
obsidian-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianYSeam1024.jpg?v=1748613407,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ObsidianToebox1024.jpg?v=1748613407,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,Emerald - Run Ankle Midweight Merino Wool Sock,"<p dir=""ltr"" data-pm-slice=""1 1 []"">The Emerald Midweight Merino Wool Sock is an absolute workhorse. Don't let it's low profile design fool you, this thing is built for all-day performance and comfort whether you're on the trail or the job. It starts with a premium quality merino wool (45%), knitted to a form fitting nylon (49%) core. Then we add zoned elastic support (6%) in key areas for optimal fit and performance.   The Emerald is designed with a low profile waffle-knit cuff that sit's just above the shoe line to provide optimal protection from your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,ankle,true,Size,sm,product.metafields.shopify.accessory-size,Color,emerald,product.metafields.shopify.color-pattern,,,,EMERALD-SM-MW,53.8640939375,shopify,97,deny,manual,18.00,,true,true,'194794144382,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldHero.jpg?v=1748613151,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle,,,,,,'7,,sm; md; lg; xl,running,moisture-wicking,indigo; emerald,merino; nylon; wool,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,md,,,emerald,,,,,EMERALD-MD-MW,56.69904625,shopify,103,deny,manual,18.00,,true,true,'194794144399,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldUndertheHood.jpg?v=1748613151,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,lg,,,emerald,,,,,EMERALD-LG-MW,59.5339985625,shopify,5,deny,manual,18.00,,true,true,'194794144405,https://cdn.shopify.com/s/files/1/1310/9209/files/Emerald3.jpg?v=1748613151,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,xl,,,emerald,,,,,EMERALD-XL-MW,62.368950875,shopify,5,deny,manual,18.00,,true,true,'194794144412,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldEdgeLogo1024.jpg?v=1748613151,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Emerald2.jpg?v=1748613151,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldMidfoot1024.jpg?v=1748613151,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/Emerald1.jpg?v=1748613151,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldToebox1024.jpg?v=1748613151,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/EmeraldYSeam1024.jpg?v=1748613151,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,Indigo - Casual Crew Midweight Merino Wool Sock,"<p dir=""auto"">The Indigo Merino Wool Sock is proof that performance doesn't have to be flashy. Our casual collection makes a statement of a different kind. Designed specifically for for people who are looking for all the benefits of a high performance wool without all the noise. With 55% merino wool, 41% nylon, and 5% elastane, this 10"" crew sock offers full-footbed midweight padding, seamless toes, <strong>StrongStrut®</strong> arch support, and <strong>FreeVent®</strong> zones that provide enhanced breathability and moisture management. Classic yet adventure-ready, it’s moisture-wicking, odor-resistant, and <strong>USA-Made with a lifetime warranty</strong>—perfect for daily wear on or off the trail.</p>",GRIP6,Apparel & Accessories > Clothing > Socks,Casual,crew,true,Size,sm,product.metafields.shopify.accessory-size,Color,indigo,product.metafields.shopify.color-pattern,,,,INDIGO-SM-MW,73.708760125,shopify,119,deny,manual,23.00,,true,true,'194794144344,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoHero.jpg?v=1748613262,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Crew,,,,,,,,sm; md; lg; xl,,moisture-wicking,indigo,merino; nylon; wool,unisex,,,,,,oz,,4.00,true,,,true,,,true,,,true,,,active
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,md,,,indigo,,,,,INDIGO-MD-MW,79.37866475,shopify,258,deny,manual,23.00,,true,true,'194794144351,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoUndertheHood.jpg?v=1748613262,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4.00,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,lg,,,indigo,,,,,INDIGO-LG-MW,87.8835216875,shopify,240,deny,manual,23.00,,true,true,'194794144368,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoEdgeLogo1024.jpg?v=1748613262,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4.00,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,xl,,,indigo,,,,,INDIGO-XL-MW,96.388378625,shopify,41,deny,manual,23.00,,true,true,'194794144375,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoIn-Step.jpg?v=1748613262,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4.00,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoMidfoot.jpg?v=1748613262,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoToebox1024.jpg?v=1748613262,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indigo-casual-crew-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/IndigoYSeam1024.jpg?v=1748613262,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
